"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_I","6664196-psicologia-tipo-b","En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?","Misión","Valores","FODA","Visión","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","Un serumista luego de haber diagnosticado y tratado un caso clínico muy interesante, ha hecho una revisión profunda de la 
literatura sobre el tema y desea compartirlo con la comunidad científica. ¿Qué tipo de informe de investigación debe preparar?","Reporte de caso","Revisión sistemática","Carta al editor","Artículo original","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Son comportamientos que pueden o no ser saludables e influir de manera positiva o negativa en la salud del individuo, 
caracterizan el modo de vida de un individuo y suelen ser permanentes. Esta definición corresponde a:","Autocuidado","Estilo de vida","Práctica","Hábito saludable","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Debido a que se observaron muchos casos de suicidios en adolescentes en la comunidad donde usted labora, le encargan 
realizar un estudio descriptivo sobre la depresión en adolescentes en su comunidad ¿Cuál será la principal limitante del 
estudio?","No permitirá hallar asociación de variables","Sus resultados no serán extrapolables","Demandará costos económicos muy elevados","El análisis estadístico será muy complejo","A"
"Examenes_2025_I","6664196-psicologia-tipo-b","Según la historia natural de la enfermedad, identificar una persona con diabetes en la fase subclínica corresponde al periodo 
...... y el nivel de prevención es...","patogénico / terciario.","patogénico / primario.","patogénico / secundario.","pre patogénico / secundario.","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","La ética cultiva y promueve el ejercicio de la moral y los valores para que los actos estén encuadrados en el bien y en el 
derecho en beneficio de la sociedad. Como profesional de la salud. ¿Qué principios debe cumplir en la atención a la población 
objetivo?","Solidaridad, orden, deber y derecho","Fraternidad, moral, deber y orden","Orden, fraternidad, moral y derecho","Orden, moral, deber y derecho","D"
"Examenes_2025_I","6664196-psicologia-tipo-b","El personal de un establecimiento de salud desea saber lo que debe desarrollar prioritariamente. ¿Qué componente debe 
conocer para orientar sus objetivos estratégicos?","FODA","Visión","Misión","Valores","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","Al Centro de Salud de Chuquibamba de la provincia de Condesuyos, acude una gestante añosa, en periodo expulsivo, con 
antecedentes de preeclampsia; el parto se complica y fallecen madre y niño. Ante este evento. ¿Qué Auditoría de la Calidad 
de la Atención en Salud corresponde seguir?","Dirimente","De caso","Externa","Regular","B"
"Examenes_2025_I","6664196-psicologia-tipo-b","Luego de la recolección y procesamiento de datos de su estudio para investigar si hay asociación entre el alcoholismo y la 
violencia familiar en adultos varones de su comunidad. ¿Qué análisis estadístico llevará a cabo?","Probabilístico","Inductivo","Inferencial","Descriptivo","C"
"Examenes_2025_I","6664196-psicologia-tipo-b","En un estudio sobre la depresión en adolescentes en su comunidad, aplica un instrumento de detección de depresión en 
estudiantes de 5° año de secundaria de un colegio cercano al establecimiento. ¿Qué tipo de muestreo está realizando?","No probabilístico","Probabilístico","Estadístico","Censal","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","El monitoreo del tratamiento de la TB sensible es en base a evaluaciones clínicas y exámenes auxiliares. Un paciente acude 
a un centro de atención primaria. ¿Qué examen se le hace como control mensual?","Rx tórax frontal (A-P)","Examen espirometría","Exámenes de sangre","Baciloscopía","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","Paciente acude al centro de salud por dolor en la región lumbar con presencia de ligero sangrado en la orina, con sospecha 
de cálculos renales. ¿Qué estudio radiológico realiza?","Rx abdomen simple decúbito (A-P)","Rx abdomen simple de pie (P-A)","Tomografía axial computarizada de abdomen","Rx de abdomen (A-P) tangencial","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","Un servidor público, brinda información de un diagnóstico médico, a personas de la comunidad. ¿Qué principio ético 
está vulnerando?","Respeto","Individualidad","Confidencialidad","Seguridad","C"
"Examenes_2025_I","6664196-radiologia-tipo-a","Considerando los fundamentos de la protección radiológica. ¿Qué aplica usted para minimizar los riesgos de los efectos 
secundarios de las radiaciones ionizantes?","Distancia, tiempo y blindaje","Distancia, Kv y blindaje","Distancia, tiempo y Kv","Kv, blindaje y tiempo","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","El Ministerio de Salud a través de ...... es responsable de distribuir, difundir, dirigir, supervisar, monitorear, evaluar los 
medicamentos en los sectores públicos y privados.","DIGESA","CENARES","DIGEMID","CENSOPAS","C"
"Examenes_2025_I","6664196-radiologia-tipo-a","Un serumista está trabajando en un establecimiento de salud con población asignada, que cuenta con médico 
cirujano, profesionales de enfermería, obstetricia y personal técnico de enfermería. Según su cartera de servicios. ¿Cuál es 
el nivel de atención en el que se encuentra?","I-4","I-1","I-3","I-2","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","En un establecimiento de salud que tiene bajos indicadores de desempeño, se desea realizar un concepto compartido para 
un futuro mejor, pues cada quien tiene una idea diferente de lo que se quiere lograr. ¿Qué componente estratégico se debe 
plantear entre todos?","Visión","Misión","FODA","Valores","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","Para investigar la relación entre la anemia y la talla de niños de 5° grado de primaria de un colegio, usted acude un día de la 
semana para medir la Hb y talla a todos ellos. ¿Qué enfoque de investigación está realizando?","Cuantitativo","Mixto","Cualitativo","Observacional","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","En el proceso de redacción del informe final de su estudio transversal analítico sobre la relación entre la ingesta de bebidas 
gaseosas y sobrepeso; usted desea que todas las secciones tengan coherencia entre sí. ¿Qué herramienta debe usar para 
verificarla?","Matriz de consistencia","Matriz de operacionalización","Lista de verificación","Revisión de Turnitin","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","¿A qué corresponde la siguiente definición?: “Es el conjunto de acciones que desarrolla un profesional de la salud mediante 
el uso de las TIC, para proporcionar a la persona usuaria de salud, consejería y asesoría con fines de promoción de la salud, 
prevención, recuperación o rehabilitación de las enfermedades”.","Teleconsulta","Telemonitoreo","Teleinterconsulta","Teleorientación","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","Realizando visita domiciliaria, según el plan del cuidado integral de salud de las personas adultas mayores, se encuentra a 
un varón de 66 años de edad, vive solo; refiere tener “mal de ojo”, presenta “dolor de cabeza y dolor muscular”, llegará el 
curandero, realizará una limpia con cuy macho de color negro. Se le muestra interés e integración de los cuidados que 
requiere. ¿Éste enunciado se denomina?","Salud pública","Cultura","Interculturalidad en salud","Población indígena","C"
"Examenes_2025_I","6664196-radiologia-tipo-a","Las acciones para mejorar la calidad de la atención orientados a mejorar la experiencia y la confianza de las personas, las 
familias y las comunidades en los servicios de salud, más allá de la optimización de los procesos, se enmarca dentro de las 
Funciones Esenciales de Salud Pública. ¿A qué función corresponde?","Desarrollo de recursos humanos para la salud","Financiamiento de la salud eficiente y equitativo","Acceso equitativo a servicios de salud integrales y de calidad","Asegurar el acceso y el uso racional de medicamentos","C"
"Examenes_2025_I","6664196-radiologia-tipo-a","Los sistemas de vigilancia en salud (SVES) son la guía para la acción que el personal de salud utiliza para tomar decisiones 
prácticas frente a los problemas de salud. El tipo tradicional se caracteriza por que se...","incluye los procedimientos del proceso de la práctica «centinela».","usa mediciones sistemáticas.","usan datos específicos de información adicional.","basan en los sistemas de declaración de enfermedades transmisibles y morbilidad.","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","La promoción de la salud se define como la acción de ofrecer a los pueblos las vías y los medios suficientes para …… los 
problemas de salud y autocontrolar el proceso de salud-enfermedad.","controlar o mantener","restringir o acortar","diferir o mitigar","atenuar o eliminar","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","Un paciente después de haberse realizado un estudio radiográfico de tórax en un centro de atención primaria. ¿Qué dosis 
está relacionada a los efectos biológicos?","Remanente","Equitativa","Superficial","Absorbida","D"
"Examenes_2025_I","6664196-radiologia-tipo-a","Mujer de 22 años víctima de violencia física, es derivada por la fiscalía para su atención integral en el establecimiento de 
salud. El área de psicología luego de la evaluación, inicia su plan de atención integral que constará de 10 sesiones. ¿Qué tipo 
de determinante social de la salud se está abordando?","Estructural","Comercial","Intermedio","Económico","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","Llega al centro materno una gestante proveniente del sur de nuestro país, quién solicita tener un parto vertical. Como 
profesional de la salud. ¿Cómo procedería para atender y responder al requerimiento de la paciente?","Respetar su pedido","Enviarla a otro establecimiento","Persuadir su deseo","Denegarle la atención","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","Cuando el tecnólogo médico examina una radiografía que reproduce fielmente las estructuras y los tejidos, evaluando la 
resolución, el ruido y la velocidad. ¿Con qué se interrelacionan estas características?","Calidad radiográfica","Garantía de Calidad","Nitidez","Contraste","A"
"Examenes_2025_I","6664196-radiologia-tipo-a","¿Cuál es la medida de tendencia central que se interpreta como el promedio de los datos, y se construye con la suma de 
todos los datos observados entre el total de observaciones?","Media","Moda","Rango","Mediana","A"
